evar69,evar66,product,units,segment.id,segment.name
43497,50043578,National Trust Mulled Cider 750ml,1,,
43497,50044759,My Discovery Telescope,1,,
43497,50045182,Beaded Leaf and Red Berries Bauble Matt Green,4,,
43499,50042817,National Trust Family Organiser 2020,1,,
43500,30077618,National Trust Bronze Frith Sculpture Heelis Hare,1,,
43501,30073378,Beatrix Potter Mrs Tiggy Winkle Soft Toy Small,1,,
43501,30091858,Beatrix Potter Mrs Rabbit Soft Toy Small,1,,
43502,50021508,National Trust  Mug Lake District,1,,
43503,50045567,Wooden Nativity Advent Calendar,1,,
43504,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,1,,
43504,50042535,National Trust Sheep In Snow Christmas Cards Pack of 10,1,,
43504,50042805,A National Trust Christmas' Advent Calendar,1,,
43504,50043336,National Trust Engagement Diary 2020,1,,
43505,30078991,Dog Tail Cast Iron Hooks,1,,
43506,50037887,Go Wild at the Seaside,1,,
43508,50036039,National Trust Thermal Mug Silver,1,,
43509,50029517,National Trust Moonlight Snowfall Christmas Card Pack of 10,1,,
43509,50042534,National Trust Snowy Forest Christmas Cards Pack of 10,1,,
43509,50042794,National Trust 'Wishing You a Happy Christmas' Christmas Cards Pack of 10,1,,
43509,50042802,National Trust Robin Christmas Cards Pack of 10,1,,
43510,30079240,National Trust Mini Flower Press,1,,
43510,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,1,,
43510,50043333,National Trust Woodland Animals Advent Calendar,1,,
43511,50042535,National Trust Sheep In Snow Christmas Cards Pack of 10,1,,
43512,50023153,Children's Long Handled Gardening Brush,4,,
43513,30056972,National Trust Illusion Throw Grey,1,,
43513,50031185,National Trust Herringbone Throw Petrol Blue,1,,
43514,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,3,,
43515,50042795,National Trust Pheasant Christmas Cards Pack of 10,3,,
43516,50042807,National Trust Garden Christmas Cards Pack of 10,1,,
43518,50039003,Robin Balancing Plant Stake,1,,
43519,50042805,A National Trust Christmas' Advent Calendar,1,,
43519,50045174,Rachel Ellen Designs Ltd Christmas Organiser,1,,
43520,30076643,Children's Fun Sticky Slug,2,,
43520,30079240,National Trust Mini Flower Press,1,,
43520,30086707,3D Jigsaw Modelling Clay Dinosaur Triceratops,1,,
43520,30089323,The Original Den Kit,1,,
43520,50001867,Beatrix Potter Peter Rabbit 5 Piece Organic Dinner Set,1,,
43520,50033359,National Trust Eco Travel Cup Duck Egg Blue,2,,
43520,50033360,National Trust Eco Travel Cup Heather Grey,2,,
43520,50043924,National Trust Blue Spruce and Frosted Pine Reed Diffuser,2,,
43521,50042817,National Trust Family Organiser 2020,1,,
43522,30056972,National Trust Illusion Throw Grey,1,,
43522,50043931,National Trust Petworth Trailing Floral Porcelain Vase Large,1,,
43523,50029482,National Trust Giant's Causeway: Nature Rocks! Guidebook,1,,
43524,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,5,,
43525,300760791,Cast Iron Listening Mouse,1,,
43525,300760792,Cast Iron Talking Mouse,1,,
43525,30085945,Cast Iron Sculpture Bunny,1,,
